Name	Party	University	Subject area	Phrase	Occupation
Lord Oakeshott of Seagrove Bay	Liberal Democrat	Charterhouse	Social studies	Philosophy, Politics and Economics, graduating in 	Financier
Lord Ouseley	Crossbench	No university found	Other	Diploma in municipal administration	No occupation found
Lord Owen	Crossbench	Sidney Sussex College, Cambridge	Medicine & dentistry	medicine, obtaining a , an Honorary Doctorate of Letters from Plymouth University in , as a doctor in , of how , of US presidents and UK Prime Ministers over the last 	Physician
Lord Oxburgh	Crossbench	University College, Oxford			No occupation found
Lord Paddick	Liberal Democrat	No university found	Other	, for a postgraduate Diploma in Policing and Applied Criminology at Fitzwilliam College, Cambridge, edit, clean	Visiting fellow, television
Lord Palmer	Crossbench	No university found	Other	Certificate in Farming Practice in 	No occupation found
Lord Palmer of Childs Hill	Liberal Democrat	No university found			No occupation found
Lord Palumbo	Conservative	No university found			No occupation found
Lord Palumbo of Southwark	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Pannick	Crossbench	No university found	Other	as a MA and a BCL	Barrister, Peer
Lord Parekh	Labour	No university found	Social studies	Bachelor, an honorary doctorate by the University of Essex, the Padma Bhushan by the Government of India in , an honorary degree of Doctor of Social Sciences , an Honorary Doctorate of Philosophy from Edge Hill University	No occupation found
Lord Parkinson	Conservative	Emmanuel College, Cambridge	Law	English at Emmanuel College, later switching to read Law, as a Chartered Accountant and in 	No occupation found
Lord Patel	Crossbench	No university found			No occupation found
Lord Patel of Blackburn	Labour	No university found	Other	with a Bachelor of Commerce	No occupation found
Lord Patel of Bradford	Crossbench	No university found			No occupation found
Lord Patten	Conservative	Sidney Sussex College, Cambridge	Other	from Sidney Sussex College, Cambridge	No occupation found
Lord Patten of Barnes	Conservative	Balliol College, Oxford	Law	history at Balliol College, Oxford , in , an Honorary Doctor of Laws from the University of Bath, the Nobel Prize for their cleverness, not long before the whole edifice came crashing down with the financial community digging deep into its pockets to prevent too much collateral damage	No occupation found
Lord Paul	Labour	No university found	Other	the Padma Bhushan, by Indira Gandhi, the Prime Minister of India, and the Bharat Gaurav award by the Indian Merchants, , further Lifetime Achievement Award in recognition of his work in promoting India, lifetime achievement prize	Businessman
Lord Pearson of Rannoch	UKIP	No university found	Other	in 	No occupation found
Lord Pendry	Labour	No university found			No occupation found
Lord Peston	Labour	No university found	Social studies	from the London School of Economics and Princeton University	Economist
Lord Phillips of Sudbury	Liberal Democrat	No university found	Social studies	Economics and Law, then became a solicitor	British solicitor and politician
Lord Phillips of Worth Matravers	Judge	King's College, Cambridge	Law	law, tenancy there, later moving to , the prestigious International Jurist Award at the International Conference of Jurists 	No occupation found
Lord Plant of Highfield	Labour	No university found			No occupation found
Lord Plumb	Conservative	No university found	Other	a knighthood in the Queen	No occupation found
Lord Ponsonby of Shulbrede	Labour	No university found			No occupation found
Lord Popat	Conservative	No university found		No phrase found	No occupation found
Lord Powell of Bayswater	Crossbench	No university found	Social studies	in , the Public Service Star by the government of Singapore	No occupation found
Lord Prescott	Labour	Ruskin College	Social studies	diploma in economics and politics in , BSc in economics and economic history at the University of Hull, prolonged standing ovation from the members present, in recognition of his many years of service to the party, a life peerage, , reputation in the British press for confused speech, mangled syntax and poor grammar	No occupation found
Lord Prior	Conservative	No university found			No occupation found
Lord Prys-Davies	Labour	No university found		No phrase found	No occupation found
Lord Purvis of Tweed	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Puttnam	Labour	No university found	Other	, the BAFTA Fellowship, The Royal Photographic Society, edit	Film producer and educator
Lord Quirk	Crossbench	No university found	Physical sciences	English , chemistry, , the honorary degree of Doctor of Letters by the University of Bath, and reading aloud	No occupation found
Lord Radice	Labour	Magdalen College, Oxford			No occupation found
Lord Ramsbotham	Crossbench	No university found	Other	a life peerage in , further honorary appointment as Aide de Camp General to HM the Queen 	No occupation found
Lord Rana	Crossbench	No university found			No occupation found
Lord Razzall	Liberal Democrat	No university found	Law	as a solicitor in , 	Lawyer
Lord Rea	Labour	No university found		No phrase found	Lawyer
Lord Redesdale	Liberal Democrat	No university found			No occupation found
Lord Rees of Ludlow	Crossbench	Trinity College, Cambridge	Mathematical sciences	or external links, but its sources remain unclear because it lacks inline citations, for the Mathematics tripos at Trinity College, Cambridge, with first class, the Crafoord Prize, the Templeton Prize	No occupation found
Lord Reid of Cardowan	Labour	Trinity College, Cambridge		No phrase found	No occupation found
Lord Renfrew of Kaimsthorn	Conservative	No university found	Physical sciences	Natural Sciences then Archaeology and Anthropology, graduating in 	No occupation found
Lord Rennard	Liberal Democrat	No university found	Social studies	BA Hons Social Studies 	No occupation found
Lord Renton of Mount Harry	Conservative	Magdalen College, Oxford	Historical & philosophical studies	with a first class degree in History	No occupation found
Lord Renwick of Clifton	Labour	No university found	Other	from Jesus College, Cambridge in , at the Sorbonne	No occupation found
Lord Ribeiro	Conservative	No university found		No phrase found	No occupation found
Lord Richard	Labour	Pembroke College, Oxford	Law	Jurisprudence	No occupation found
Lord Richards of Herstmonceux	Crossbench	No university found	Social studies	in , international relations, offshore yachtsman 	No occupation found
Lord Risby	Conservative	University of Cape Town, Magdalene College, Cambridge	Other	at the University of Cambridge	Politician
Lord Rix	Crossbench	No university found	Other	in the House of Commons, eight honorary degrees 	Actor; activist
Lord Roberts of Conwy	Conservative	No university found			No occupation found
Lord Roberts of Llandudno	Liberal Democrat	No university found			No occupation found
Lord Robertson of Port Ellen	Crossbench	University of Dundee	Social studies	Economics at the Queen	No occupation found
Lord Rodgers of Quarry Bank	Liberal Democrat	Magdalen College, Oxford			No occupation found
Lord Rogan	UUP	No university found			No occupation found
Lord Rogers of Riverside	Labour	No university found	Architecture, building & planning	with a master, at Yale, Rogers met fellow architecture student Norman Foster and planning student Su Brumwell, reputation for what was later termed by the media high, the RIBA Royal Gold Medal in , Golden Lion for Lifetime Achievement at the , the Stirling Prize for Terminal , the Minerva Medal by the Chartered Society of Designers in the same year, honorary degrees from several universities, including Alfonso X El Sabio University in Madrid, Oxford Brookes University, the University of Kent, the Czech Technical University in Prague and the Open University, an Honorary Degree 	No occupation found
Lord Rooker	Labour	Aston University	Other	an honorary doctorate in 	No occupation found
Lord Roper	Liberal Democrat	Magdalen College, Oxford; University of Chicago			No occupation found
Lord Rose of Monewden	Conservative	Magdalen College, Oxford; University of Chicago		No phrase found	No occupation found
Lord Rosser	Labour	No university found			No occupation found
Lord Rotherwick	Conservative	No university found			No occupation found
Lord Rowe-Beddoe	Crossbench	No university found			No occupation found
Lord Rowlands	Labour	No university found		No phrase found	No occupation found
Lord Ryder of Wensum	Conservative	Magdalene College, Cambridge			No occupation found
Lord Saatchi	Conservative	No university found	Social studies	from the London School of Economics with a First class honours degree in Economics in 	Advertising
Lord Sacks	Crossbench	Gonville &amp; Caius College, Cambridge	Other	first, a National Jewish Book Award in , by thousands of people in Jewish communities around the world, The Sanford St Martin	No occupation found
Lord Sainsbury of Preston Candover	Conservative	No university found	Historical & philosophical studies	History	No occupation found
Lord Sainsbury of Turville	Labour	No university found	Social studies	degree in History and Psychology at King, an honorary degree in science by University College London and in , 	No occupation found
Lord Sandberg	Liberal Democrat	No university found	Other	knighthood for 	No occupation found
Lord Sanderson of Bowden	Conservative	No university found		No phrase found	No occupation found
Lord Sassoon	Conservative	No university found		No phrase found	No occupation found
Lord Saville of Newdigate	Crossbench	Brasenose College, Oxford	Law	at Brasenose College, Oxford, graduating with first class honours in law 	Judge
Lord Sawyer	Labour	No university found			No occupation found
Lord Scott of Foscote	Crossbench	University of Cape Town;	Other	at the University of Cape Town, where he received a Bachelor of Arts degree in , B	Jurist
Lord Scriven	Liberal Democrat	University of East Anglia (BA)		No phrase found	No occupation found
Lord Selkirk of Douglas	Conservative	Balliol College, Oxford, University of Edinburgh			No occupation found
Lord Selsdon	Conservative	No university found			No occupation found
Lord Sewel	Non-affiliated	No university found	Other	for his PhD at Aberdeen University	No occupation found
Lord Sharkey	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Sharman	Liberal Democrat	No university found	Business & administrative studies	as a chartered accountant in 	No occupation found
Lord Shaw of Northstead	Conservative	No university found	Other	Knighthood, 	No occupation found
Lord Sheikh	Conservative	No university found			No occupation found
Lord Sheldon	Labour	No university found			No occupation found
Lord Sheppard of Didgemere	Conservative	No university found	Other	car manufacturing, knighthood in 	No occupation found
Lord Sherbourne of Didsbury	Conservative	No university found		No phrase found	No occupation found
Lord Shipley	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Shutt of Greetland	Liberal Democrat	No university found			No occupation found
Lord Simon of Highbury	Labour	No university found	Other	from the University of Cambridge in 	No occupation found
Lord Simpson of Dunkeld	Labour	No university found	Other	reputation for turning around struggling companies	No occupation found
Lord Singh of Wimbledon	Crossbench	No university found	Engineering & technology	engineering at Birmingham University, an honorary doctorate 	No occupation found
Lord Skelmersdale	Conservative	No university found	Other	or external links, but its sources remain unclear because it lacks inline citations	No occupation found
Lord Skidelsky	Crossbench	No university found	Social studies	history at Jesus College, Oxford and is Emeritus Professor of Political Economy at the University of Warwick, England, Manchuria then Japan, and finally released in exchange for Japanese internees in England, history at Jesus College, Oxford	No occupation found
Lord Smith of Clifton	Liberal Democrat	No university found			Politician
Lord Smith of Finsbury	Labour	Pembroke College, Cambridge	Languages	first class honours degree in English, and a PhD with a thesis on Coleridge and Wordsworth, standing ovation from most of the audience	No occupation found
Lord Smith of Kelvin	Crossbench	No university found	Business & administrative studies	as a Chartered Accountant in , knighthood in , Smith an Honorary Fellowship at the Annual Scottish Conference in recognition of his long term support of the internal audit profession	Businessman and parliamentarian
Lord Smith of Leigh	Labour	No university found			No occupation found
Lord Snape	Labour	No university found			No occupation found
Lord Soley	Labour	University of Southampton, University of Strathclyde	Social studies	BA in Politics and Psychology in , Diploma in Applied Social Studies in 	No occupation found
Lord Soulsby of Swaffham Prior	Conservative	No university found	Other	numerous honorary degrees and awards	No occupation found
Lord Spicer	Conservative	No university found		No phrase found	No occupation found
Lord St John of Bletso	Crossbench	No university found			No occupation found
Lord Steel of Aikwood	Liberal Democrat	University of Edinburgh	Law	, in Law he worked for the Scottish Liberal Party and then the BBC before being elected to the House of Commons as the MP for Roxburgh, Selkirk and Peebles at the , it, edit	No occupation found
Lord Stephen	Liberal Democrat	University of Edinburgh		No phrase found	No occupation found
Lord Sterling of Plaistow	Conservative	No university found			No occupation found
Lord Stern of Brentford	Crossbench	University of Oxford	Mathematical sciences	mathematics at Peterhouse, Cambridge, and his Doctor of Philosophy in economics at Nuffield College, Oxford with thesis titled Location and the rate of development, in the theory of optimal planning, an Honorary Doctor of Science degree by the University of Warwick in , the 	No occupation found
Lord Stevens of Kirkwhelpington	Crossbench	No university found			Police officer; head of the Metropolitan Police Service (2000–2005)
Lord Stevens of Ludgate	Conservative	No university found	Other	, edit	No occupation found
Lord Stevenson of Balmacara	Labour	No university found	Physical sciences	MA in Natural Sciences, Chemistry and at Napier Polytechnic 	No occupation found
Lord Stevenson of Coddenham	Crossbench	No university found			No occupation found
Lord Stewartby	Conservative	No university found			No occupation found
Lord Steyn	Crossbench	No university found	Law	Law at the University of Stellenbosch before reading English as a Rhodes Scholar at University College, Oxford	Judge
Lord Stirrup	Crossbench	No university found	Other	the Air Force Cross after landing a Jaguar aircraft from the back seat after an engine caught fire when the aircraft hit a bird, command appointment, as the Officer Commanding No	No occupation found
Lord Stoddart of Swindon	Independent Labour	No university found			No occupation found
Lord Stone of Blackheath	Labour	No university found			No occupation found
Lord Stoneham of Droxford	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Storey	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Strasburger	Liberal Democrat	Central College Nottingham		No phrase found	No occupation found
Lord Strathclyde	Conservative	No university found			No occupation found
Lord Sugar	Labour	No university found	Other	, pilot with , a line of Amstrad PCs, for the UEFA Cup, Klinsmann decided to invoke an opt, Tottenham, in , edit	Entrepreneur, celebrity, author, politician
Lord Suri	Conservative	No university found			No occupation found
Lord Sutherland of Houndwood	Crossbench	No university found	Historical & philosophical studies	from the University of Aberdeen with a first, Master of Arts in the Philosophy of Religion from Corpus Christi College, Cambridge in , in two influential edited volumes, The Philosophical Frontiers of Christian Theology	No occupation found
Lord Swinfen	Conservative	No university found			No occupation found
Lord Tanlaw	Crossbench	No university found	Other	in the House of Lords on 	No occupation found
Lord Taverne	Liberal Democrat	No university found	Law	in Philosophy and Ancient History, qualified as a barrister in 	No occupation found
Lord Taylor of Blackburn	Labour	No university found			No occupation found
Lord Taylor of Goss Moor	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Taylor of Holbeach	Conservative	No university found			No occupation found
Lord Taylor of Warwick	Non-affiliated	No university found	Law	English Literature and Law, followed by the Inns of Court School of Law in London, the Gray	No occupation found
Lord Tebbit	Conservative	No university found	Other	of the , tumultuous standing ovation and walked into the centre of the Conference hall waving amongst the cheers	Politician, Peer
Lord Temple-Morris	Labour	St Catharine's College, Cambridge	Law	BA in Law in 	No occupation found
Lord Teverson	Liberal Democrat	Exeter University			No occupation found
Lord Thomas of Cwmgiedd	Judge	Exeter University		No phrase found	No occupation found
Lord Thomas of Gresford	Liberal Democrat	Peterhouse, Cambridge University	Law	with an LLB in Law and an MA in Classics	Solicitor, Barrister, Judge, Lecturer
Lord Thomas of Macclesfield	Labour	No university found	Other	edit	No occupation found
Lord Thomas of Swynnerton	Crossbench	No university found	Historical & philosophical studies	First Class in Part I of the History Tripos in , at the Sorbonne in Paris	No occupation found
Lord Tombs	Crossbench	No university found			No occupation found
Lord Tomlinson	Labour	No university found	Social studies	health services management at Brunel University, and in , an MA in industrial relations from the University of Warwick	No occupation found
Lord Tope	Liberal Democrat	No university found			No occupation found
Lord Tordoff	Liberal Democrat	No university found			No occupation found
Lord Touhig	Labour	No university found		No phrase found	No occupation found
Lord Trees	Crossbench	No university found		No phrase found	No occupation found
Lord Trefgarne	Conservative	No university found			No occupation found
Lord Triesman	Labour	University of Essex,	Education	Higher Education	Politician
Lord Trimble	Conservative	Queen's University, Belfast	Law	at Queen, the McKane Medal for Jurisprudence, first class honours degree , as a barrister in , the Nobel Peace Prize for their efforts to find a peaceful solution to the conflict in Northern Ireland	Politician
Lord True	Conservative	No university found			No occupation found
Lord Truscott	Labour	No university found	Historical & philosophical studies	BA in modern history in 	No occupation found
Lord Tugendhat	Conservative	No university found	Other	a knighthood in the , an honorary degree by the University of Bath 	No occupation found
Lord Tunnicliffe	Labour	No university found	Mathematical sciences	with a Bachelor of Science in mathematics in 	No occupation found
Lord Turnberg	Labour	No university found	Medicine & dentistry	medicine at Manchester University from , knighthood in 	No occupation found
Lord Turnbull	Crossbench	No university found			No occupation found
Lord Turner of Ecchinswell	Crossbench	No university found	Social studies	History and Economics and became President of the Cambridge Union, in recognition of his public service to the nation 	No occupation found
Lord Tyler	Liberal Democrat	No university found	Other	large majority at second reading in the House of Commons	Liberal Democrat Working Peer
Lord Vallance of Tummel	Liberal Democrat	No university found	Languages	from Brasenose College, Oxford with a Bachelor of Arts in English language and literature, and in 	No occupation found
Lord Verjee	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Vincent of Coleshill	Crossbench	No university found	Other	the Distinguished Service Order, and later commanded , the Distinguished Service Order	No occupation found
Lord Vinson	Conservative	No university found			No occupation found
Lord Waddington	Conservative	Hertford College, Oxford			No occupation found
Lord Wade of Chorlton	Conservative	No university found	Other	or external links, but its sources remain unclear because it lacks inline citations, a Knighthood in the 	No occupation found
Lord Wakeham	Conservative	No university found			No occupation found
Lord Waldegrave of North Hill	Conservative	Corpus Christi College, Oxford			No occupation found
Lord Walker of Aldringham	Crossbench	No university found	Other	the American Legion of Merit, the American Legion of Merit 	No occupation found
Lord Walker of Gestingthorpe	Judge	Trinity College, Cambridge	Law	in , Classics and Law	Judge
Lord Wallace of Saltaire	Liberal Democrat	King's College, Cambridge	Languages	History , from Cambridge Wallace travelled to the United States, where he spent three years working towards his PhD at Cornell University, finishing his thesis on the Liberal Revival of , of international affairs, diplomacy and grand strategy, at Cambridge and served as Vice, the French Chevalier, Ordre pour le M, the L	No occupation found
Lord Wallace of Tankerness	Liberal Democrat	Downing College, Cambridge	Social studies	joint degree in Economics and Law, and was also rumoured to have been a member of the , Law at Edinburgh, graduating in , lifetime achievement award in the Scottish Politician of the Year Awards	No occupation found
Lord Walpole	Crossbench	No university found			No occupation found
Lord Walton of Detchant	Crossbench	No university found	Medicine & dentistry	from Newcastle Medical School 	No occupation found
Lord Warner	Labour	No university found	Other	future funding arrangements for the elderly	No occupation found
Lord Wasserman	Conservative	No university found		No phrase found	No occupation found
Lord Watson of Invergowrie	Labour	Heriot-Watt University	Other	with a B, Life peerage as Baron Watson of Invergowrie, of Invergowrie in Perth and Kinross	No occupation found
Lord Watson of Richmond	Liberal Democrat	No university found	Other	an MA in , from Cambridge University in 	
Lord Wei	Conservative	Sir Frank Markham Community School, Milton Keynes	Languages	Modern Languages at Jesus College, from Jesus College, Oxford, Wei worked at McKinsey , and learning	Member of the House of Lords
Lord Weidenfeld	Crossbench	No university found	Other	the Degree of Doctor of Letters, honoris causa, by Oxford University in , him with the Bene Merito distinction in 	No occupation found
Lord West of Spithead	Labour	No university found	Other	as a principal warfare officer in , as an advanced warfare officer before being posted to the destroyer HMS Norfolk in , the Distinguished Service Cross for his leadership, British Merchant Navy officers in , into employment of women at sea before spending three years as head of naval intelligence 	No occupation found
Lord Whitby	Conservative	No university found		No phrase found	No occupation found
Lord Whitty	Labour	No university found	Social studies	from St John, Economics	No occupation found
Lord Wigley	Plaid Cymru	No university found		No phrase found	No occupation found
Lord Williams of Baglan	Labour	No university found		No phrase found	No occupation found
Lord Williams of Elvel	Labour	Christ Church, Oxford	Social studies	Bachelor of Arts in literae humaniores in , with a Bachelor of Science in 	businessman
Lord Williams of Oystermouth	Crossbench	Christ's College, Cambridge	Social studies	Theology at Christ, as DPhil in , him an honorary doctorate in Divinity in , him a joint Doctor of Divinity degree during his first visit to Canada since being enthroned and he also received honorary degrees and fellowships from various universities including Kent, Oxford, and Roehampton, the works of Dostoyevsky in the original, some American political advisers speaking of action against Syria and Iran, I can only say that I regard that as criminal, ignorant and potentially murderous folly, nine or ten languages, but speak only three	Clergyman, theologian
Lord Williamson of Horton	Crossbench	No university found	Other	the Knight Commander	No occupation found
Lord Willis of Knaresborough	Liberal Democrat	No university found	Education	at the City of Leeds and Carnegie College , Cert Ed in , BPhil in Education from the University of Birmingham	No occupation found
Lord Willoughby de Broke	UKIP	New College, Oxford	Languages	modern languages 	No occupation found
Lord Wills	Labour	New College, Oxford		No phrase found	No occupation found
Lord Wilson of Dinton	Crossbench	No university found	Law	the degree of Master of Laws 	No occupation found
Lord Wilson of Tillyorn	Crossbench	Keble College, Oxford	Languages	Chinese at the University of Hong Kong from , Mandarin Chinese at The University of Hong Kong, he was given the Chinese name Wei Dewei 	colonial administrator, diplomat, sinologist
Lord Winston	Labour	The London Hospital Medical College, University of London	Medicine & dentistry	from The London Hospital Medical College, University of London, in , medicine and surgery and achieved prominence as an expert in human fertility	Surgeon, scientist, television presenter, politician, and peer
Lord Wolfson of Aspley Guise	Conservative	No university found	Law	law at Trinity College, Cambridge	Businessman
Lord Wolfson of Sunningdale	Conservative	No university found	Social studies	with a Master of Arts in economics and law in , Master of Business Administration in 	No occupation found
Lord Wood of Anfield	Labour	No university found			No occupation found
Lord Woolf	Crossbench	University College London	Law	books about lawyers and wanted to be a barrister, law at University College London 	Lawyer
Lord Woolmer of Leeds	Labour	No university found	Social studies	life peerage and became an active member of the House of Lords, Bachelor of Arts degree in economics, he became a university lecturer at Leeds	No occupation found
Lord Wrigglesworth	Liberal Democrat	No university found		No phrase found	No occupation found
Lord Wright of Richmond	Crossbench	No university found	Social studies	with a Bachelor of Arts in literae humaniores in , Arabic at MECAS in the Lebanon from 	No occupation found
Lord Young of Graffham	Conservative	University College, London	Law	as a solicitor, Young only practised for a year, after which he joined the Great Universal Stores Ltd as an executive, working for part of that time as an assistant to the Chairman, Sir Isaac Wolfson Bt	No occupation found
Lord Young of Norwood Green	Labour	No university found	Other	a knighthood, 	No occupation found
The Archbishop of Canterbury	Bishop	No university found			No occupation found
The Archbishop of York	Bishop	No university found		No phrase found	No occupation found
The Bishop of Birmingham	Bishop	No university found		No phrase found	No occupation found
The Bishop of Bristol	Bishop	No university found		No phrase found	Historian
The Bishop of Carlisle	Bishop	King's College London		No phrase found	Barrister
The Bishop of Chelmsford	Bishop	No university found		No phrase found	No occupation found
The Bishop of Chester	Bishop	No university found		No phrase found	No occupation found
The Bishop of Coventry	Bishop	No university found		No phrase found	No occupation found
The Bishop of Derby	Bishop	No university found		No phrase found	No occupation found
The Bishop of Durham	Bishop	London School of Economics		No phrase found	No occupation found
The Bishop of Ely	Bishop	No university found		No phrase found	No occupation found
The Bishop of Gloucester	Bishop	No university found		No phrase found	No occupation found
The Bishop of Leicester	Bishop	No university found		No phrase found	No occupation found
The Bishop of Lichfield	Bishop	No university found		No phrase found	Historian
The Bishop of London	Bishop	No university found		No phrase found	No occupation found
The Bishop of Newcastle	Bishop	St. Catherine's College, Oxford		No phrase found	No occupation found
The Bishop of Norwich	Bishop	University of Sheffield, University of Pennsylvania		No phrase found	Academic
The Bishop of Oxford	Bishop	University College, Oxford		No phrase found	No occupation found
The Bishop of Peterborough	Bishop	No university found		No phrase found	Economist
The Bishop of Portsmouth	Bishop	No university found		No phrase found	No occupation found
The Bishop of Rochester	Bishop	University of Dundee		No phrase found	No occupation found
The Bishop of Sheffield	Bishop	No university found		No phrase found	No occupation found
The Bishop of St Albans	Bishop	No university found		No phrase found	No occupation found
The Bishop of Truro	Bishop	No university found		No phrase found	Politician, secretary
The Bishop of Winchester	Bishop	Keble College, Oxford		No phrase found	colonial administrator, diplomat, sinologist
The Bishop of Worcester	Bishop	No university found		No phrase found	No occupation found
The Countess of Mar	Crossbench	Lady Margaret Hall, Oxford		No phrase found	Intelligence officer
The Duke of Montrose	Conservative	No university found		No phrase found	No occupation found
The Duke of Norfolk	Crossbench	No university found	Other	, the Order of the Garter, edit	No occupation found
The Earl of Arran	Conservative	No university found		No phrase found	No occupation found
The Earl of Caithness	Conservative	No university found		No phrase found	No occupation found
The Earl of Courtown	Conservative	No university found		No phrase found	Politician
The Earl of Crawford and Balcarres	Conservative	No university found		No phrase found	No occupation found
The Earl of Dundee	Conservative	London School of Economics		No phrase found	No occupation found
The Earl of Erroll	Crossbench	Queen's University Belfast		No phrase found	Businessman
The Earl of Glasgow	Liberal Democrat	No university found		No phrase found	No occupation found
The Earl of Home	Conservative	No university found			No occupation found
The Earl of Lindsay	Conservative	No university found		No phrase found	No occupation found
The Earl of Listowel	Crossbench	No university found		No phrase found	No occupation found
The Earl of Liverpool	Conservative	No university found		No phrase found	No occupation found
The Earl of Lytton	Crossbench	No university found		No phrase found	No occupation found
The Earl of Mar and Kellie	Liberal Democrat	Lady Margaret Hall, Oxford		No phrase found	Intelligence officer
The Earl of Oxford and Asquith	LD	University College, Oxford		No phrase found	No occupation found
The Earl of Rosslyn	Crossbench	No university found		No phrase found	No occupation found
The Earl of Sandwich	Crossbench	No university found			No occupation found
The Earl of Selborne	Conservative	No university found		No phrase found	No occupation found
The Earl of Shrewsbury	Conservative	No university found		No phrase found	No occupation found
The Earl of Snowdon	Crossbench	No university found		No phrase found	No occupation found
The Earl of Stair	Crossbench	No university found		No phrase found	No occupation found
The Marquess of Cholmondeley	Crossbench	University of Portsmouth		No phrase found	No occupation found
The Marquess of Lothian	Conservative	No university found		No phrase found	No occupation found
The Marquess of Salisbury	Other	No university found	Social studies	, of any government legislation promised in its election manifesto, edit	No occupation found
Viscount Allenby of Megiddo	Crossbench	Queen's University Belfast		No phrase found	No occupation found
Viscount Astor	Conservative	No university found			No occupation found
Viscount Bridgeman	Conservative	No university found			No occupation found
Viscount Brookeborough	Crossbench	No university found			No occupation found
Viscount Chandos	Labour	No university found			No occupation found
Viscount Clancarty	Crossbench	No university found			No occupation found
Viscount Colville of Culross	Crossbench	No university found			No occupation found
Viscount Craigavon	Crossbench	No university found			No occupation found
Viscount Eccles	Conservative	No university found			No occupation found
Viscount Falkland	Liberal Democrat	No university found			No occupation found
Viscount Goschen	Conservative	No university found			No occupation found
Viscount Hanworth	Labour	No university found			No occupation found
Viscount Montgomery of Alamein	Crossbench	No university found			No occupation found
Viscount Ridley	Conservative	No university found			No occupation found
Viscount Simon	Labour	No university found			No occupation found
Viscount Slim	Crossbench	No university found			No occupation found
Viscount Tenby	Crossbench	No university found			No occupation found
Viscount Trenchard	Conservative	No university found			No occupation found
Viscount Ullswater	Conservative	No university found			No occupation found
Viscount Waverley	Crossbench	No university found			No occupation found
Viscount Younger of Leckie	Conservative	No university found			No occupation found
